split,global_step,hits_sum,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,303,29685994.000000,97755.000000,0.473131,185.276825
training,304,27923720.000000,124764.000000,0.603854,167.758240
training,305,28021908.000000,112810.000000,0.545997,271.486359
training,306,31885836.000000,103264.000000,0.499794,171.889343
training,307,28628764.000000,116377.000000,0.563261,241.148102
training,308,27071796.000000,101977.000000,0.493565,282.922333
training,309,30320696.000000,119443.000000,0.578100,171.582596
training,310,27352524.000000,91274.000000,0.441763,319.478149
training,311,28377312.000000,97101.000000,0.469966,172.988739
training,312,33421944.000000,110636.000000,0.535475,193.763107
training,313,28962980.000000,106523.000000,0.515568,174.131165
training,314,28043020.000000,103747.000000,0.502132,136.828735
training,315,25767748.000000,89927.000000,0.435244,205.135742
training,316,32629844.000000,109756.000000,0.531215,184.811493
training,317,29113260.000000,101999.000000,0.493672,166.912384
training,318,24681864.000000,95463.000000,0.462038,144.604858
training,319,37294512.000000,111626.000000,0.540266,219.533981
training,320,29273956.000000,107095.000000,0.518336,151.907394
training,321,30566068.000000,110553.000000,0.535073,164.474747
training,322,31031010.000000,105763.000000,0.511889,166.827393
training,323,26740254.000000,97921.000000,0.473934,195.365692
training,324,28583354.000000,108034.000000,0.522881,159.760391
training,325,32373322.000000,99840.000000,0.483222,307.021240
training,326,31587760.000000,106537.000000,0.515635,165.984314
training,327,28086844.000000,121051.000000,0.585883,151.033890
training,328,32464926.000000,101586.000000,0.491673,136.207901
training,329,29024240.000000,88479.000000,0.428235,169.291138
training,330,28709574.000000,106712.000000,0.516483,178.642914
training,331,25631068.000000,92887.000000,0.449570,207.369308
training,332,27131824.000000,93765.000000,0.453819,165.201126
training,333,30087156.000000,99123.000000,0.479752,178.793442
training,334,24669350.000000,103769.000000,0.502239,156.755966
training,335,28866332.000000,118711.000000,0.574557,155.993698
training,336,29753924.000000,98581.000000,0.477129,205.611237
training,337,28272912.000000,106084.000000,0.513443,198.264954
training,338,28574224.000000,101992.000000,0.493638,191.792007
training,339,33384812.000000,95840.000000,0.463862,165.159943
training,340,32430764.000000,103695.000000,0.501880,173.564026
