split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,172,28723876.000000,604.000000,281.000000,110000.000000,0.532396,180.399673
training,173,29446124.000000,569.000000,275.000000,119134.000000,0.576605,110.639999
training,174,32997348.000000,599.000000,287.000000,106124.000000,0.513637,124.970398
training,175,28935644.000000,568.000000,257.000000,95087.000000,0.460218,159.696320
training,176,35926488.000000,584.000000,303.000000,113666.000000,0.550140,141.870850
training,177,28452156.000000,621.000000,285.000000,103753.000000,0.502161,128.047073
training,178,30045610.000000,591.000000,287.000000,95771.000000,0.463528,140.950211
training,179,32275382.000000,594.000000,260.000000,99781.000000,0.482937,147.848602
training,180,28204246.000000,609.000000,273.000000,90661.000000,0.438796,137.353348
training,181,28087638.000000,633.000000,294.000000,101702.000000,0.492234,149.674973
training,182,28686018.000000,553.000000,275.000000,121024.000000,0.585752,125.071808
training,183,30649208.000000,575.000000,295.000000,108646.000000,0.525843,122.704544
training,184,34227524.000000,615.000000,286.000000,91654.000000,0.443602,111.214211
training,185,28400428.000000,621.000000,251.000000,105594.000000,0.511071,186.993820
training,186,28888722.000000,662.000000,259.000000,100386.000000,0.485865,185.647873
training,187,28699060.000000,693.000000,279.000000,88380.000000,0.427756,245.339294
training,188,24846980.000000,587.000000,271.000000,94017.000000,0.455039,123.397438
training,189,28598324.000000,561.000000,288.000000,118119.000000,0.571692,133.525406
training,190,25218364.000000,625.000000,258.000000,86420.000000,0.418270,140.969925
training,191,31111036.000000,552.000000,283.000000,103614.000000,0.501488,145.606400
training,192,32401388.000000,588.000000,290.000000,106657.000000,0.516216,123.782303
training,193,33477148.000000,585.000000,277.000000,97779.000000,0.473247,291.301270
training,194,33179948.000000,723.000000,264.000000,98996.000000,0.479137,137.296127
training,195,29584960.000000,651.000000,253.000000,99299.000000,0.480604,129.268799
training,196,26915552.000000,579.000000,284.000000,115355.000000,0.558314,139.696121
training,197,30929730.000000,570.000000,270.000000,105244.000000,0.509377,128.759583
training,198,28312704.000000,587.000000,295.000000,94124.000000,0.455557,117.421860
training,199,26366580.000000,681.000000,281.000000,106463.000000,0.515277,118.345474
training,200,28613306.000000,679.000000,251.000000,111524.000000,0.539772,229.794464
training,201,26835222.000000,636.000000,255.000000,95410.000000,0.461781,169.650146
training,202,33152628.000000,613.000000,278.000000,97664.000000,0.472690,237.099548
training,203,28866464.000000,600.000000,254.000000,98239.000000,0.475473,153.204071
training,204,31069264.000000,619.000000,289.000000,86284.000000,0.417612,142.128006
training,205,28290320.000000,602.000000,247.000000,99478.000000,0.481470,125.462433
training,206,28517792.000000,614.000000,269.000000,120559.000000,0.583502,182.171356
training,207,34206828.000000,665.000000,264.000000,101192.000000,0.489766,133.281113
training,208,25340506.000000,576.000000,274.000000,107137.000000,0.518539,105.562080
training,209,26681604.000000,637.000000,246.000000,95323.000000,0.461360,137.504196
training,210,33794588.000000,666.000000,263.000000,98391.000000,0.476209,136.092804
training,211,27797846.000000,602.000000,287.000000,88628.000000,0.428957,212.416962
training,212,32372002.000000,586.000000,304.000000,100319.000000,0.485541,151.606659
training,213,30612504.000000,617.000000,259.000000,99158.000000,0.479921,165.869980
training,214,32718856.000000,734.000000,254.000000,93332.000000,0.451724,117.031166
training,215,24519194.000000,659.000000,279.000000,92843.000000,0.449357,123.223618
training,216,25301500.000000,654.000000,255.000000,88046.000000,0.426140,213.450714
training,217,25732124.000000,669.000000,284.000000,98194.000000,0.475256,145.865341
training,218,30052452.000000,592.000000,276.000000,101560.000000,0.491547,168.510529
training,219,32244948.000000,608.000000,281.000000,98883.000000,0.478590,173.921219
training,220,32025808.000000,611.000000,303.000000,101852.000000,0.492960,135.556091
training,221,29950306.000000,717.000000,285.000000,102065.000000,0.493991,223.317978
training,222,30736088.000000,667.000000,281.000000,90739.000000,0.439174,361.279510
training,223,30090332.000000,641.000000,292.000000,110374.000000,0.534206,135.705948
training,224,26659416.000000,659.000000,255.000000,88309.000000,0.427413,166.290436
training,225,32202006.000000,607.000000,268.000000,97623.000000,0.472492,122.678146
training,226,28958396.000000,562.000000,298.000000,105505.000000,0.510641,145.013382
training,227,32807360.000000,639.000000,312.000000,108801.000000,0.526593,168.334595
training,228,23317992.000000,584.000000,273.000000,88656.000000,0.429092,112.787903
training,229,28571768.000000,633.000000,250.000000,103898.000000,0.502863,141.424454
training,230,28449136.000000,651.000000,255.000000,114430.000000,0.553837,207.030212
training,231,33002416.000000,587.000000,270.000000,98613.000000,0.477284,113.008003
training,232,29085022.000000,635.000000,295.000000,106299.000000,0.514484,158.468933
training,233,29168212.000000,679.000000,260.000000,104608.000000,0.506299,176.609955
training,234,29982412.000000,632.000000,266.000000,96149.000000,0.465358,187.270950
training,235,27421060.000000,672.000000,256.000000,104055.000000,0.503623,179.290878
training,236,32324970.000000,600.000000,281.000000,88295.000000,0.427345,137.672134
training,237,28589280.000000,629.000000,281.000000,116617.000000,0.564422,135.788071
training,238,26195240.000000,728.000000,265.000000,93687.000000,0.453442,214.658722
training,239,29073214.000000,634.000000,289.000000,107499.000000,0.520292,193.665436
training,240,28735244.000000,583.000000,284.000000,113657.000000,0.550096,130.191711
training,241,29052644.000000,679.000000,261.000000,111429.000000,0.539313,181.865341
training,242,26322788.000000,637.000000,262.000000,91126.000000,0.441047,194.951035
training,243,32861900.000000,626.000000,263.000000,106725.000000,0.516545,129.375458
training,244,32391084.000000,617.000000,275.000000,99425.000000,0.481214,150.671967
training,245,27892750.000000,631.000000,293.000000,101544.000000,0.491470,141.535843
training,246,31510812.000000,666.000000,290.000000,100689.000000,0.487331,233.373703
training,247,29494408.000000,704.000000,255.000000,105881.000000,0.512460,142.317795
training,248,33351412.000000,689.000000,268.000000,100811.000000,0.487922,144.326172
training,249,32964742.000000,614.000000,272.000000,101700.000000,0.492225,154.493469
training,250,32812452.000000,613.000000,278.000000,108686.000000,0.526037,178.561798
training,251,25563524.000000,661.000000,279.000000,92027.000000,0.445408,131.002426
training,252,34414120.000000,629.000000,277.000000,103541.000000,0.501135,145.540741
training,253,27088148.000000,719.000000,260.000000,95878.000000,0.464046,153.480255
training,254,25235056.000000,569.000000,283.000000,95775.000000,0.463548,124.209053
training,255,27702020.000000,622.000000,276.000000,122065.000000,0.590791,150.042023
training,256,32253992.000000,612.000000,290.000000,105132.000000,0.508835,153.189636
training,257,29277048.000000,574.000000,298.000000,97169.000000,0.470295,128.944260
training,258,28569328.000000,726.000000,263.000000,113457.000000,0.549128,223.213562
training,259,29832268.000000,726.000000,289.000000,91990.000000,0.445229,171.200546
training,260,29141548.000000,635.000000,293.000000,107648.000000,0.521013,134.093796
training,261,32412768.000000,671.000000,284.000000,95654.000000,0.462962,206.358566
training,262,30120512.000000,641.000000,280.000000,105577.000000,0.510989,151.672638
training,263,28499132.000000,759.000000,296.000000,104699.000000,0.506740,159.415939
training,264,33134564.000000,641.000000,279.000000,102745.000000,0.497282,157.084610
training,265,26874192.000000,733.000000,278.000000,101385.000000,0.490700,238.708252
training,266,28518828.000000,678.000000,295.000000,104152.000000,0.504092,151.880646
training,267,33075952.000000,701.000000,272.000000,101434.000000,0.490937,135.067551
training,268,28630066.000000,643.000000,263.000000,115375.000000,0.558411,200.542053
training,269,29021640.000000,594.000000,295.000000,117874.000000,0.570506,143.642685
training,270,33661252.000000,613.000000,269.000000,103007.000000,0.498550,138.446106
training,271,31420872.000000,659.000000,281.000000,93503.000000,0.452551,193.415619
training,272,27216006.000000,744.000000,286.000000,99812.000000,0.483087,136.109573
training,273,32427796.000000,746.000000,267.000000,97139.000000,0.470150,142.742554
training,274,26107524.000000,746.000000,286.000000,100602.000000,0.486910,153.883652
training,275,29227952.000000,588.000000,283.000000,119542.000000,0.578579,145.417221
training,276,30252748.000000,613.000000,298.000000,118994.000000,0.575927,128.641479
training,277,38291996.000000,624.000000,314.000000,113219.000000,0.547976,212.020004
training,278,31505900.000000,599.000000,291.000000,104122.000000,0.503947,151.300156
training,279,33290794.000000,589.000000,292.000000,108315.000000,0.524241,162.030075
training,280,27073784.000000,641.000000,288.000000,116559.000000,0.564142,141.515335
training,281,29911088.000000,602.000000,298.000000,115942.000000,0.561155,137.488708
training,282,31234928.000000,604.000000,286.000000,98365.000000,0.476083,298.889465
training,283,32215156.000000,581.000000,273.000000,100350.000000,0.485691,162.932770
training,284,27604520.000000,680.000000,289.000000,99293.000000,0.480575,133.046204
training,285,29484124.000000,616.000000,305.000000,101106.000000,0.489350,122.867966
training,286,25792776.000000,615.000000,282.000000,109254.000000,0.528786,165.378174
training,287,28546652.000000,618.000000,289.000000,114202.000000,0.552734,148.814560
training,288,28192312.000000,666.000000,271.000000,89921.000000,0.435215,342.338745
training,289,27722460.000000,642.000000,266.000000,90788.000000,0.439411,240.752319
training,290,31416304.000000,688.000000,287.000000,92881.000000,0.449541,301.159821
training,291,27646028.000000,705.000000,282.000000,87896.000000,0.425414,170.322464
training,292,27284878.000000,624.000000,269.000000,93599.000000,0.453016,159.417953
training,293,28554296.000000,632.000000,297.000000,108505.000000,0.525161,159.193192
training,294,30337640.000000,612.000000,274.000000,99623.000000,0.482172,230.784058
training,295,32434024.000000,588.000000,295.000000,108930.000000,0.527218,139.758240
training,296,30421796.000000,626.000000,294.000000,109963.000000,0.532217,127.471779
training,297,29118952.000000,690.000000,276.000000,105591.000000,0.511057,182.009338
training,298,32366540.000000,604.000000,291.000000,101388.000000,0.490715,187.788986
training,299,32645636.000000,662.000000,272.000000,108140.000000,0.523394,159.651993
training,300,30460048.000000,662.000000,291.000000,104605.000000,0.506285,292.286438
training,301,28719732.000000,706.000000,300.000000,107175.000000,0.518723,134.688583
training,302,32397206.000000,592.000000,295.000000,103561.000000,0.501232,172.041534
training,303,26792904.000000,671.000000,295.000000,104907.000000,0.507746,187.862274
training,304,29409322.000000,602.000000,298.000000,112450.000000,0.544254,154.473373
training,305,27613908.000000,606.000000,290.000000,115744.000000,0.560197,161.511230
training,306,32410460.000000,696.000000,274.000000,98660.000000,0.477511,171.561600
training,307,30173004.000000,616.000000,305.000000,113630.000000,0.549965,142.607330
training,308,32009176.000000,613.000000,284.000000,101056.000000,0.489108,195.034912
training,309,28480744.000000,662.000000,268.000000,107652.000000,0.521032,162.584259
training,310,28210770.000000,664.000000,287.000000,120922.000000,0.585258,155.101501
training,311,26779672.000000,652.000000,279.000000,93239.000000,0.451274,252.636673
training,312,33168224.000000,666.000000,312.000000,103699.000000,0.501900,200.515106
training,313,33410816.000000,657.000000,278.000000,111007.000000,0.537270,170.559235
training,314,31394856.000000,618.000000,305.000000,113116.000000,0.547478,192.121155
training,315,33505012.000000,661.000000,288.000000,101966.000000,0.493512,302.004700
training,316,27038040.000000,676.000000,287.000000,99549.000000,0.481814,150.449509
training,317,29376746.000000,725.000000,310.000000,106682.000000,0.516337,190.171097
training,318,30563616.000000,574.000000,302.000000,109978.000000,0.532290,151.281372
training,319,31678624.000000,729.000000,279.000000,98552.000000,0.476988,160.521255
training,320,28644216.000000,657.000000,299.000000,119465.000000,0.578207,173.582855
training,321,29250304.000000,636.000000,301.000000,106560.000000,0.515747,150.639481
training,322,30704828.000000,616.000000,292.000000,101599.000000,0.491736,196.808197
training,323,31451264.000000,642.000000,295.000000,103510.000000,0.500985,262.380951
training,324,32489644.000000,742.000000,292.000000,96558.000000,0.467337,305.672516
training,325,28715240.000000,603.000000,275.000000,102197.000000,0.494630,212.599396
training,326,32764032.000000,648.000000,292.000000,101836.000000,0.492883,261.948120
training,327,26205852.000000,682.000000,275.000000,97583.000000,0.472298,219.747360
training,328,32933724.000000,639.000000,296.000000,92690.000000,0.448617,142.194397
training,329,30142116.000000,572.000000,278.000000,97336.000000,0.471103,164.347610
training,330,24923578.000000,656.000000,288.000000,104044.000000,0.503569,132.306076
training,331,28870520.000000,679.000000,286.000000,100998.000000,0.488827,189.388000
training,332,29317576.000000,643.000000,302.000000,97568.000000,0.472226,176.900574
training,333,27774564.000000,696.000000,277.000000,111880.000000,0.541495,239.760254
training,334,27732760.000000,699.000000,276.000000,109307.000000,0.529042,206.380188
training,335,31556102.000000,626.000000,288.000000,109718.000000,0.531031,161.186783
training,336,36020568.000000,641.000000,326.000000,114101.000000,0.552245,165.166656
training,337,26376100.000000,671.000000,268.000000,98223.000000,0.475396,158.088730
training,338,29334546.000000,782.000000,283.000000,91756.000000,0.444096,314.120605
training,339,33017388.000000,630.000000,292.000000,95597.000000,0.462686,145.588196
training,340,30918884.000000,635.000000,286.000000,99677.000000,0.482433,190.526886
training,341,28040522.000000,646.000000,272.000000,104705.000000,0.506769,175.764282
training,342,28880164.000000,659.000000,302.000000,111661.000000,0.540435,216.937317
training,343,27823096.000000,632.000000,283.000000,86404.000000,0.418192,167.187302
training,344,30725352.000000,664.000000,310.000000,107461.000000,0.520108,150.924255
training,345,22865426.000000,660.000000,279.000000,90373.000000,0.437402,139.644577
training,346,32648996.000000,710.000000,309.000000,88555.000000,0.428603,157.662201
training,347,31536190.000000,619.000000,286.000000,100096.000000,0.484461,215.916031
training,348,27596120.000000,739.000000,295.000000,103720.000000,0.502001,154.947708
training,349,30520428.000000,667.000000,313.000000,111785.000000,0.541036,158.095642
training,350,25345692.000000,664.000000,272.000000,91038.000000,0.440621,195.839264
training,351,27831112.000000,619.000000,291.000000,124305.000000,0.601632,152.583099
training,352,30480836.000000,620.000000,278.000000,100796.000000,0.487849,229.460831
training,353,27217796.000000,663.000000,276.000000,97269.000000,0.470779,190.593979
training,354,31507178.000000,589.000000,292.000000,102156.000000,0.494432,169.047714
training,355,31515698.000000,684.000000,300.000000,104791.000000,0.507185,158.679901
training,356,28497604.000000,728.000000,292.000000,100287.000000,0.485386,228.948380
training,357,29841832.000000,633.000000,280.000000,99781.000000,0.482937,307.786957
training,358,31164140.000000,623.000000,322.000000,102730.000000,0.497210,193.642532
