split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,197,24910488.000000,417.000000,158.000000,80614.000000,0.390169,25.839935
training,198,18602940.000000,378.000000,147.000000,102490.000000,0.496048,25.560225
training,199,19939576.000000,468.000000,137.000000,83207.000000,0.402719,22.283648
training,200,19401126.000000,370.000000,150.000000,107742.000000,0.521468,33.800224
training,201,17878088.000000,391.000000,158.000000,96982.000000,0.469390,25.847967
training,202,19611764.000000,472.000000,172.000000,68687.000000,0.332443,26.104897
training,203,15195228.000000,412.000000,147.000000,75438.000000,0.365117,23.077696
training,204,17345682.000000,558.000000,162.000000,74617.000000,0.361144,41.925598
training,205,21581208.000000,463.000000,155.000000,86144.000000,0.416934,28.782688
training,206,23364364.000000,407.000000,161.000000,77174.000000,0.373520,27.262144
training,207,21474868.000000,449.000000,157.000000,82910.000000,0.401282,22.567488
training,208,16833538.000000,412.000000,152.000000,83886.000000,0.406005,23.444576
training,209,25392748.000000,398.000000,155.000000,84086.000000,0.406973,19.638399
training,210,18946372.000000,435.000000,175.000000,88710.000000,0.429353,29.576544
training,211,21983576.000000,437.000000,159.000000,81098.000000,0.392512,31.422527
training,212,21132968.000000,413.000000,164.000000,69430.000000,0.336039,23.733568
training,213,18831416.000000,446.000000,155.000000,89028.000000,0.430893,32.936256
training,214,23120472.000000,397.000000,177.000000,97899.000000,0.473828,25.112991
training,215,21102674.000000,428.000000,143.000000,94784.000000,0.458751,26.835968
training,216,15177441.000000,452.000000,152.000000,75846.000000,0.367092,25.035263
training,217,18776312.000000,383.000000,154.000000,81088.000000,0.392463,29.222752
training,218,17330458.000000,525.000000,159.000000,75510.000000,0.365466,37.634720
training,219,19931120.000000,452.000000,160.000000,78223.000000,0.378597,24.590273
training,220,20590182.000000,394.000000,158.000000,99812.000000,0.483087,24.703199
training,221,17879120.000000,389.000000,166.000000,85643.000000,0.414509,23.114401
training,222,17233062.000000,516.000000,157.000000,76112.000000,0.368380,41.133858
training,223,15222336.000000,469.000000,158.000000,80548.000000,0.389850,28.490368
training,224,16436113.000000,436.000000,155.000000,84332.000000,0.408164,24.896769
training,225,17127972.000000,536.000000,161.000000,74316.000000,0.359687,43.643681
training,226,16741944.000000,442.000000,144.000000,72014.000000,0.348545,28.169727
training,227,16587985.000000,442.000000,160.000000,84044.000000,0.406770,24.078432
training,228,16929340.000000,426.000000,153.000000,86915.000000,0.420666,23.925184
training,229,20323708.000000,485.000000,157.000000,84782.000000,0.410342,29.455711
training,230,24111768.000000,423.000000,169.000000,85907.000000,0.415787,28.351521
training,231,18689516.000000,448.000000,163.000000,92360.000000,0.447019,25.722752
training,232,17229752.000000,410.000000,168.000000,82746.000000,0.400488,20.452320
training,233,22087262.000000,451.000000,149.000000,78939.000000,0.382062,23.493408
training,234,24280688.000000,433.000000,156.000000,88151.000000,0.426648,22.137793
training,235,16159080.000000,423.000000,150.000000,82804.000000,0.400769,23.870913
training,236,17096880.000000,446.000000,145.000000,73230.000000,0.354431,30.824640
training,237,16104356.000000,476.000000,163.000000,83243.000000,0.402893,29.003263
training,238,16763149.000000,400.000000,153.000000,97900.000000,0.473833,23.209600
training,239,18339536.000000,364.000000,160.000000,88480.000000,0.428240,24.325312
training,240,18553764.000000,417.000000,160.000000,93521.000000,0.452639,27.391199
training,241,16899772.000000,460.000000,165.000000,88133.000000,0.426561,26.073856
training,242,16182315.000000,466.000000,153.000000,85129.000000,0.412022,26.368929
training,243,15939168.000000,445.000000,148.000000,90501.000000,0.438022,23.242208
training,244,18584196.000000,454.000000,148.000000,79041.000000,0.382556,28.375584
training,245,23359876.000000,428.000000,169.000000,85155.000000,0.412147,26.292480
training,246,19309220.000000,433.000000,148.000000,95224.000000,0.460881,24.018496
training,247,15653985.000000,426.000000,146.000000,77155.000000,0.373428,23.924255
training,248,16582738.000000,465.000000,162.000000,85476.000000,0.413701,24.815489
training,249,18151708.000000,458.000000,144.000000,79625.000000,0.385382,23.571136
training,250,19468102.000000,461.000000,162.000000,78234.000000,0.378650,38.125473
training,251,23902584.000000,408.000000,150.000000,82571.000000,0.399641,24.707935
training,252,20247120.000000,423.000000,145.000000,98708.000000,0.477743,26.065344
training,253,19137072.000000,377.000000,153.000000,80046.000000,0.387420,25.372896
training,254,21337556.000000,429.000000,161.000000,83048.000000,0.401950,28.530785
training,255,18686260.000000,404.000000,154.000000,68221.000000,0.330187,22.585695
training,256,19527656.000000,459.000000,173.000000,63378.000000,0.306747,28.433151
training,257,17341740.000000,403.000000,176.000000,87547.000000,0.423725,25.691168
training,258,15268452.000000,468.000000,152.000000,79328.000000,0.383945,24.392736
training,259,19324248.000000,373.000000,152.000000,106231.000000,0.514154,27.406528
training,260,16708573.000000,485.000000,156.000000,71188.000000,0.344548,28.113312
training,261,18043424.000000,420.000000,180.000000,90080.000000,0.435984,22.957409
training,262,19753840.000000,382.000000,161.000000,99990.000000,0.483948,24.151169
